index,label,set
2141,3,train
23119,3,train
21625,1,train
21085,1,train
16267,1,train
15885,4,train
15990,4,train
645,2,train
24238,2,train
28049,1,train
2600,3,train
22216,4,train
26280,4,train
16361,4,train
28437,1,train
9557,0,train
12315,0,train
13883,1,train
24594,2,train
13998,3,train
3144,4,train
9249,4,train
10977,4,train
12389,4,train
5305,4,train
16143,3,train
8579,4,train
26369,0,train
3191,1,train
17761,0,train
3437,2,train
17,4,train
12884,0,train
9743,0,train
1591,4,train
17438,2,train
6233,0,train
17186,2,train
543,4,train
5224,4,train
18820,2,train
24865,2,train
17733,4,train
19641,0,train
26509,2,train
12663,4,train
22380,3,train
3725,0,train
29884,1,train
469,4,train
26554,1,train
429,3,train
9674,1,train
7525,0,train
26316,4,train
998,3,train
15332,1,train
9132,4,train
22106,4,train
1490,3,train
9777,0,train
11096,3,train
18908,1,train
27880,2,train
10560,4,train
15491,2,train
3544,1,train
1127,1,train
10354,1,train
23291,2,train
4880,3,train
19408,1,train
13305,2,train
1185,1,train
25529,3,train
6032,1,train
14019,1,train
19848,2,train
10815,3,train
8676,4,train
20943,1,train
15646,3,train
7663,0,train
7651,0,train
2900,3,train
27958,4,train
7809,2,train
15173,2,train
17378,3,train
4863,3,train
5076,2,train
28182,2,train
8999,4,train
5105,4,train
11162,2,train
29919,3,train
14295,3,train
24210,2,train
15201,4,train
17068,1,train
15862,4,train
3947,1,train
22289,3,train
5682,3,train
3474,4,train
8588,3,train
27373,3,train
13519,2,train
28437,1,train
26629,1,train
24720,0,train
28197,1,train
8663,0,train
4087,3,train
29017,4,train
29696,3,train
10238,2,train
2227,3,train
21832,3,train
17916,0,train
7066,4,train
27752,3,train
4733,1,train
18231,3,train
28258,3,train
15746,0,train
27645,2,train
11757,2,train
29399,1,train
9631,0,train
27264,2,train
22410,0,train
3455,2,train
26826,4,train
22300,0,train
28780,0,train
27723,0,train
9075,3,train
4038,4,train
8567,3,train
7301,2,train
21198,4,train
17826,2,train
6933,3,train
8759,3,train
4601,0,train
26446,2,train
9097,3,train
3475,1,train
20319,1,train
9571,0,train
12875,4,train
14849,3,train
19272,4,train
2759,0,train
6730,4,train
5904,3,train
11670,0,train
16604,4,train
959,4,train
13318,3,train
3345,4,train
29809,2,train
10753,3,train
2643,0,train
13193,2,train
20190,1,train
18071,2,train
9169,3,train
2352,1,train
11834,3,train
12995,4,train
15644,3,train
16158,2,train
7057,1,train
16518,3,train
11058,4,train
8537,3,train
7988,3,train
17333,1,train
14369,1,train
28488,2,train
29994,4,train
8398,2,train
6197,1,train
4761,2,train
11668,0,train
19580,1,train
29991,0,train
20829,3,train
10112,1,train
21418,2,train
19155,0,train
28872,2,train
3264,2,train
6869,4,train
26247,0,train
27277,2,train
29228,3,train
5716,3,train
18326,0,train
10324,4,train
7973,4,train
23546,4,train
14890,1,train
22957,2,train
27394,3,train
7937,1,train
2023,3,train
17686,1,train
4771,2,train
16152,2,train
9258,2,train
27523,0,train
9792,1,train
14406,4,train
22075,2,train
8873,1,train
21300,4,train
23412,3,train
14116,4,train
4359,4,train
21044,0,train
21691,2,train
26999,2,train
27643,1,train
24995,0,train
6180,1,train
4156,4,train
16499,1,train
20719,1,train
15363,1,train
18758,0,train
8795,0,train
238,2,train
28746,4,train
8010,4,train
18551,2,train
27181,3,train
8324,1,train
2178,4,train
14237,3,train
26157,1,train
19067,1,train
785,2,train
11191,1,train
1858,2,train
26433,1,train
24656,4,train
23431,1,train
17188,2,train
20226,3,train
23328,4,train
13811,3,train
15896,3,train
29848,4,train
17987,4,train
4829,2,train
22953,0,train
