index,label,set
27316,2,train
15367,4,train
16772,0,train
14155,4,train
27262,3,train
1576,3,train
3418,0,train
4564,2,train
12867,1,train
16760,3,train
9158,3,train
16286,1,train
29290,1,train
11308,3,train
22617,1,train
19058,0,train
8325,2,train
24403,0,train
14285,1,train
7386,3,train
7036,0,train
26964,3,train
26860,2,train
3124,3,train
15757,3,train
1425,3,train
3465,2,train
28132,3,train
7117,4,train
7163,2,train
12349,3,train
25221,4,train
18072,0,train
19391,1,train
26942,4,train
24317,3,train
1013,3,train
19390,0,train
6720,2,train
15406,3,train
26118,3,train
12540,3,train
23108,0,train
18978,2,train
24544,2,train
18008,4,train
7514,1,train
12074,0,train
242,3,train
13680,4,train
20980,1,train
15159,0,train
10629,2,train
24574,3,train
14953,1,train
9993,1,train
13377,0,train
4300,4,train
4849,3,train
25499,2,train
13737,3,train
148,1,train
5396,2,train
11402,1,train
6600,3,train
9326,1,train
23508,1,train
14345,4,train
13870,3,train
15666,2,train
27948,3,train
4397,0,train
8155,0,train
16279,3,train
24019,1,train
13485,1,train
6161,2,train
22947,3,train
10600,4,train
10869,0,train
14841,0,train
15205,0,train
7971,3,train
24877,0,train
3553,1,train
4602,0,train
7484,2,train
3317,2,train
12293,1,train
17173,4,train
11369,4,train
8169,3,train
6769,1,train
7697,3,train
14358,2,train
6373,2,train
22220,4,train
9406,1,train
23254,1,train
16338,0,train
399,0,train
24844,2,train
27736,0,train
4341,2,train
21660,2,train
5725,4,train
15763,1,train
23383,3,train
10570,2,train
8023,3,train
8851,3,train
25542,4,train
18540,3,train
19432,1,train
7220,0,train
12203,4,train
4700,0,train
21053,3,train
18306,3,train
623,2,train
9309,0,train
5777,4,train
10925,3,train
1808,2,train
26638,0,train
15139,2,train
12720,4,train
16584,1,train
28873,1,train
19949,0,train
29957,4,train
12353,3,train
5572,3,train
3320,1,train
26863,1,train
29713,4,train
17420,4,train
22396,0,train
22218,1,train
15470,1,train
21037,0,train
17028,2,train
11824,3,train
14956,3,train
11466,0,train
20346,3,train
13079,2,train
17215,0,train
11971,4,train
4863,3,train
1538,1,train
23849,0,train
16340,3,train
2733,0,train
1348,3,train
3271,1,train
25184,0,train
11616,4,train
26462,1,train
14676,2,train
25245,3,train
13067,3,train
9320,2,train
201,4,train
29868,4,train
3424,0,train
2084,3,train
29064,4,train
20011,3,train
4654,4,train
8537,3,train
3204,3,train
12327,0,train
17409,2,train
29001,4,train
16279,3,train
8205,4,train
16178,1,train
22335,2,train
17803,0,train
14069,4,train
20141,2,train
13429,3,train
7793,2,train
22730,2,train
19630,3,train
20156,1,train
25150,1,train
19435,1,train
12012,3,train
26309,4,train
538,0,train
4229,4,train
3402,4,train
10121,4,train
24756,0,train
21242,1,train
21220,3,train
6655,0,train
23529,4,train
13238,4,train
21454,1,train
20273,3,train
12935,4,train
10725,2,train
4945,4,train
15775,0,train
18289,0,train
18320,0,train
20724,0,train
20985,2,train
29196,0,train
20549,0,train
23201,3,train
11474,0,train
22265,0,train
2101,2,train
15020,0,train
5204,2,train
9666,4,train
19116,3,train
9580,3,train
8221,1,train
3451,3,train
22937,4,train
13754,3,train
7607,3,train
29781,2,train
10874,2,train
23213,2,train
26939,2,train
7767,1,train
26297,3,train
29037,1,train
2683,4,train
1484,4,train
28994,1,train
25011,1,train
4608,2,train
6526,1,train
28597,0,train
22311,2,train
7765,3,train
29903,0,train
29271,4,train
19019,1,train
24818,1,train
16252,2,train
17303,4,train
13113,1,train
17431,3,train
16167,2,train
7986,1,train
21704,3,train
5044,4,train
22,1,train
25277,1,train
21399,2,train
20890,2,train
18403,4,train
7946,2,train
6757,3,train
29466,3,train
18814,3,train
21762,3,train
18203,1,train
4939,2,train
12400,1,train
19636,0,train
21381,1,train
25846,0,train
29068,4,train
27389,4,train
1862,0,train
8970,0,train
18270,4,train
13117,3,train
8621,0,train
20721,2,train
29616,0,train
14901,1,train
17272,4,train
8189,4,train
2647,1,train
25196,2,train
2891,4,train
28772,4,train
28490,3,train
15246,4,train
7558,2,train
12095,0,train
24753,1,train
17813,3,train
22913,1,train
18936,0,train
1954,1,train
8382,2,train
6832,2,train
22583,3,train
24469,2,train
28346,3,train
13698,1,train
9712,0,train
28877,3,train
14076,3,train
3422,4,train
18566,4,train
28961,1,train
12674,4,train
6216,1,train
20933,1,train
27430,2,train
5187,2,train
6835,1,train
26120,0,train
6917,0,train
1788,1,train
25860,3,train
871,2,train
4716,2,train
19549,3,train
19190,4,train
3645,3,train
8715,0,train
14534,2,train
10226,1,train
22925,2,train
15202,2,train
9082,4,train
20318,1,train
27789,2,train
22206,0,train
20371,4,train
26450,4,train
9431,1,train
27979,4,train
16333,3,train
4255,4,train
19062,4,train
4671,3,train
22685,4,train
23340,1,train
10432,3,train
11349,2,train
13507,1,train
19374,1,train
15914,2,train
25295,4,train
1865,0,train
22313,1,train
2645,3,train
20635,1,train
27327,4,train
10240,4,train
23977,0,train
9080,1,train
12936,2,train
16111,1,train
4851,2,train
8874,1,train
13536,4,train
19415,0,train
28489,0,train
3730,2,train
4736,0,train
7671,2,train
29725,2,train
16083,1,train
23085,0,train
17909,3,train
17227,3,train
26335,1,train
1303,3,train
5275,0,train
12417,2,train
17503,3,train
22169,0,train
16710,0,train
6192,4,train
27912,1,train
19750,1,train
22668,2,train
1465,3,train
22115,0,train
18318,2,train
804,2,train
9157,0,train
29524,3,train
10591,1,train
22093,3,train
11079,4,train
17068,1,train
16144,1,train
26414,4,train
11864,2,train
25793,0,train
20351,4,train
6129,0,train
16388,3,train
17718,2,train
25416,0,train
19556,3,train
8672,3,train
1022,3,train
14135,0,train
14450,2,train
13076,3,train
15454,1,train
17787,0,train
28834,1,train
12927,1,train
28289,2,train
17514,1,train
4828,0,train
23689,2,train
16328,2,train
1593,0,train
809,2,train
5719,4,train
22723,2,train
738,0,train
4486,2,train
2253,0,train
23920,2,train
11127,3,train
12892,3,train
23825,4,train
24286,1,train
20926,2,train
16528,2,train
18501,4,train
14921,4,train
25534,2,train
12308,3,train
27168,2,train
25029,2,train
25161,4,train
14933,4,train
14315,2,train
4032,3,train
28784,4,train
29536,0,train
12664,4,train
14838,4,train
26438,2,train
12614,0,train
15480,0,train
19191,3,train
15226,1,train
5443,3,train
27225,1,train
24099,1,train
24878,3,train
16310,2,train
12025,1,train
16254,0,train
28472,1,train
21053,3,train
1054,2,train
758,1,train
21910,0,train
7195,4,train
27291,2,train
14561,4,train
7877,3,train
23906,0,train
22729,1,train
7485,3,train
12808,1,train
10417,3,train
5080,4,train
23548,0,train
1686,0,train
19126,0,train
10423,2,train
15030,1,train
17500,2,train
4934,4,train
28746,4,train
27040,4,train
22033,3,train
24038,0,train
16669,4,train
2637,2,train
58,1,train
618,4,train
17838,2,train
1113,4,train
6022,4,train
25189,3,train
22853,3,train
5904,3,train
9453,1,train
15639,2,train
1748,3,train
23502,0,train
23104,4,train
23811,1,train
25038,2,train
17332,1,train
6593,3,train
11424,2,train
29200,4,train
21691,2,train
25319,1,train
29422,0,train
23507,0,train
27344,2,train
47,1,train
26799,2,train
21879,3,train
13382,2,train
5060,0,train
17839,4,train
7558,2,train
13521,0,train
26889,2,train
8663,0,train
26968,1,train
6006,2,train
29112,4,train
13820,4,train
16652,1,train
26707,3,train
22009,3,train
2491,2,train
12896,2,train
16582,0,train
20890,2,train
25701,1,train
2993,2,train
3961,0,train
28535,0,train
23886,1,train
23358,3,train
27460,4,train
17432,1,train
9022,4,train
26130,3,train
27674,0,train
6738,0,train
13789,3,train
23014,1,train
14236,2,train
17028,2,train
3267,4,train
14489,4,train
11347,4,train
14891,3,train
10205,4,train
5104,2,train
4693,3,train
22845,3,train
23933,4,train
17226,4,train
